product_id,product_name,description,category,sub_category,brand,price,cost,stock_quantity
1,Nike Networked multimedia architecture,Pretty goal rest fund. Everything several field hour. Heavy line probably office until simple moment.,Clothing,carry,Nike,584.36,351.62,407
2,Penguin Total fresh-thinking parallelism,Give pay identify and system city benefit blood various live service wonder speak run door tonight community throughout sense information ask partner boy suggest authority shake.,Books,policy,Penguin,326.77,180.13,174
3,LG Self-enabling 4thgeneration conglomeration,Blue last card PM news cultural. Join experience cut class sport speak court. Agency where benefit almost cell accept similar nothing.,Electronics,treatment,LG,589.12,412.94,424
4,Spalding Compatible global contingency,Many strategy now list goal peace next case attack into heavy audience back site fear brother discover own former difference wait two edge reflect attack.,Sports,try,Spalding,487.11,223.39,413
5,Macmillan Diverse executive archive,Offer table use matter human arm recently book likely true enjoy air full end free share cause natural safe under professional there dog authority way.,Books,west,Macmillan,544.75,237.79,125
6,Sony Seamless tangible task-force,Generation audience indicate. Upon thought long can rich bit market different. It field sure will again area.,Electronics,staff,Sony,703.95,442.0,194
7,IKEA Exclusive national portal,Radio scene need appear she receive involve interview case just today work happy create job around discussion open dinner section thousand.,Home & Garden,student,IKEA,426.24,252.21,132
8,Wayfair Public-key non-volatile analyzer,Their economic arm arm.,Home & Garden,leg,Wayfair,945.14,441.36,5
9,HarperCollins Enterprise-wide executive analyzer,Glass pretty each factor paper long. Prevent baby voice day. Today teach kitchen few happen necessary.,Books,trouble,HarperCollins,112.42,51.95,353
10,Puma Streamlined dynamic moderator,Five must bit get improve wear main.,Sports,bar,Puma,303.24,229.61,207
11,Zara Expanded client-driven model,Figure need but right small along dog key share well again student establish open feel whole arrive.,Clothing,top,Zara,584.44,335.34,381
12,Simon & Schuster Seamless human-resource methodology,Television his and day continue issue appear figure must girl ago participant.,Books,walk,Simon & Schuster,336.42,182.39,369
